Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
BLUR11,Títulos e Val. Mob.,6811,"12,27%","11,13%",93,6.129.900,1.373,0,000,000,"0,00%","0,00%"
BMLC11,Híbrido,9724,"8,91%","8,82%",86,97.084.900,1.070.140,1,"15.119,10","1.435,55","9,49%","2,14%"
BNFS11,Outros,7109,"22,43%","20,93%",91,49.763.000,143.124,18,"4.562,88","1.199,01","26,28%","0,22%"
BPFF11,Outros,5895,"17,53%","12,35%",85,264.823.000,241.369,0,000,000,"0,00%","0,00%"
BPML11,Híbrido,8000,"9,76%","15,74%",61,595.340.000,1.719.450,4,"4.452,06",71563,"16,07%","7,04%"
BPRP11,Outros,10750,"10,56%","5,12%",86,145.107.000,0,1,"6.230,68",69207,"11,11%","0,00%"
BRCO11,Logística,10990,"7,21%","9,42%",93,1.747.970.000,2.804.170,12,"3.442,93",29599,"8,60%","0,00%"
BRCR11,Híbrido,4125,"0,60%","14,09%",48,1.098.830.000,1.530.760,6,"9.886,56","1.567,01","15,85%","1,20%"
BREV11,Híbrido,10500,"6,59%","0,00%",0,101.556.000,0,13,000,"1.437,55","0,00%","0,00%"
BRIM11,Residencial,55995,"-2,58%","27,31%",123,69.510.500,23.596,1,"136.396,00",000,"0,00%","0,00%"
BRIP11,Híbrido,93100,"-3,65%","39,20%",127,200.607.000,26.534,0,000,000,"0,00%","0,00%"
BRLA11,Outros,14800,"7,73%","5,33%",89,724.795.000,0,10,"1.083,60",8630,"7,96%","0,00%"
BROF11,Híbrido,4800,"12,22%","12,49%",44,557.319.000,319.496,2,"5.922,98",98024,"16,55%","4,65%"
BTAL11,Outros,7555,"19,94%","13,18%",68,451.996.000,578.214,9,"1.303,97",17769,"13,63%","0,00%"
BTCI11,Títulos e Val. Mob.,893,"12,28%","12,28%",89,888.724.000,1.383.160,0,000,000,"0,00%","0,00%"
BTCR11,Títulos e Val. Mob.,8800,"12,48%","0,00%",92,423.289.000,0,0,000,000,"0,00%","0,00%"
BTHF11,Híbrido,798,"5,13%","5,88%",79,1.642.660.000,3.520.680,0,000,000,"0,00%","0,00%"
BTHI11,Hotel,3950,"9,57%","10,23%",58,364.131.000,16.402,14,"6.389,65",69237,"10,84%","0,00%"
BTLG11,Híbrido,10108,"6,90%","9,19%",97,4.371.620.000,7.514.130,30,"3.325,54",18266,"5,49%","2,89%"
BTML11,Híbrido,11128,"10,15%","9,94%",96,126.321.000,0,2,"22.394,60","2.369,56","10,58%","9,70%"
BTRA11,Outros,5820,"3,60%","6,52%",52,195.817.000,339.207,6,133,014,"10,60%","24,97%"
BTSG11,Logística,15905,"8,76%","7,25%",105,123.266.000,0,1,"6.535,73",62261,"9,53%","0,00%"
BTSI11,Híbrido,11160,"4,21%","7,94%",95,593.053.000,515,6,"1.247,37",6704,"5,37%","0,00%"
BTWR11,Lajes Corporativas,10322,"7,01%","6,93%",90,83.532.800,5,1,"4.173,17",43743,"10,48%","8,00%"
BTYU11,Híbrido,1030,"8,50%","12,88%",101,309.000.000,430,0,000,000,"0,00%","0,00%"
BVAR11,Outros,"1.400,00","3,93%","6,12%",176,875.756.000,36,47,"8.709,56",37572,"4,31%","23,15%"
CACR11,Híbrido,9639,"13,50%","16,45%",101,466.173.000,1.133.730,0,000,000,"0,00%","0,00%"
CARE11,Híbrido,137,"-12,70%","0,00%",20,49.004.800,21.165,1,000,000,"0,00%","0,00%"
CBOP11,Lajes Corporativas,2500,"4,65%","4,30%",37,35.375.000,43.017,1,"2.172,35",31422,"14,46%","55,78%"
CCME11,,885,"9,86%","10,91%",86,600.004.000,233.502,2,"5.700,66",47360,"8,31%","44,99%"
CCRF11,Títulos e Val. Mob.,9250,"7,16%","0,00%",95,145.401.000,0,0,000,000,"0,00%","0,00%"
CCVA11,Híbrido,10007,"4,52%","3,95%",103,61.793.200,0,1,"2.122,38",10708,"5,05%","2,66%"
CEOC11,Lajes Corporativas,3799,"13,87%","13,81%",52,68.978.300,45.380,1,"4.372,02",72338,"16,55%","0,00%"
CFHI11,Outros,62620,"30,10%","3,93%",121,59.238.500,0,9,"4.902,03",000,"0,00%","0,00%"
CFII11,Híbrido,"1.000,00","1,60%","14,14%",84,126.319.000,0,8,"14.439,20",57325,"3,97%","0,00%"
CJCT11,Lajes Corporativas,5525,"2,55%","2,73%",76,173.485.000,16.913,1,"9.004,41",57089,"6,34%","43,70%"
CLIN11,Títulos e Val. Mob.,8870,"12,18%","13,25%",92,385.558.000,767.625,0,000,000,"0,00%","0,00%"
CNES11,Lajes Corporativas,102,"9,25%","8,76%",13,34.817.500,50.496,1,50184,16990,"33,86%","59,40%"
COPP11,Híbrido,10300,"4,99%","0,00%",94,290.462.000,0,3,542,025,"4,63%","18,00%"
CORM11,,8100,"4,57%","0,00%",85,87.581.800,0,3,"7.193,96",75512,"10,50%","0,00%"
CPFF11,Títulos e Val. Mob.,6990,"7,18%","8,75%",96,178.460.000,2.399.560,0,000,000,"0,00%","0,00%"
CPLG11,Logística,1107,"0,25%","6,46%",112,380.202.000,5.564.150,1,49893,289,"0,58%","0,00%"
CPOF11,Híbrido,10850,"3,39%","8,21%",99,481.639.000,8.084.950,4,391,027,"6,90%","2,50%"
CPSH11,Shoppings,919,"5,55%","12,97%",77,732.441.000,3.281.610,7,97142,7390,"7,61%","27,04%"
CPTR11,Títulos e Val. Mob.,800,"16,26%","10,46%",81,331.040.000,3.768.370,0,000,000,"0,00%","0,00%"
CPTS11,Títulos e Val. Mob.,746,"8,14%","12,17%",85,2.371.000.000,9.858.820,0,000,000,"0,00%","0,00%"
CPUR11,Híbrido,1025,"4,21%","10,45%",104,639.304.000,7.549.070,11,"7.051,82",34308,"4,87%","0,49%"
CRAA11,Títulos e Val. Mob.,9095,"6,31%","13,84%",89,215.537.000,623.444,0,000,000,"0,00%","0,00%"
CRFF11,Títulos e Val. Mob.,7089,"10,18%","10,30%",88,48.916.900,341.785,0,000,000,"0,00%","0,00%"
CTXT11,Lajes Corporativas,575,"-28,08%","0,00%",23,22.548.200,937,1,48831,262,"0,54%","100,00%"
CVBI11,Títulos e Val. Mob.,8483,"13,33%","13,34%",93,933.998.000,1.822.310,0,000,000,"0,00%","0,00%"
CXAG11,Outros,7137,"12,23%","12,60%",62,149.208.000,127.971,32,"2.590,95",35451,"13,68%","0,00%"
CXCE11,Lajes Corporativas,3879,"13,79%","13,20%",61,66.445.300,11.270,1,"3.133,24",47751,"15,24%","0,00%"
CXCI11,Títulos e Val. Mob.,6687,"13,97%","13,37%",80,137.600.000,100.874,0,000,000,"0,00%","0,00%"
CXCO11,Lajes Corporativas,5741,"14,53%","13,60%",60,225.306.000,110.151,10,"2.421,66",40859,"16,87%","0,00%"
CXRI11,Títulos e Val. Mob.,6289,"11,34%","11,16%",80,99.099.500,127.089,0,000,000,"0,00%","0,00%"
CXTL11,Logística,23023,"10,90%","10,36%",55,12.339.600,6.603,1,"1.737,59",34543,"19,88%","0,00%"
DAMA11,Títulos e Val. Mob.,750,"7,86%","10,96%",87,41.527.700,76.496,0,000,000,"0,00%","0,00%"
DAMT11,Shoppings,1670,"-0,83%","0,00%",117,296.922.000,325,2,"2.703,27",19634,"7,26%","9,72%"
