Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
IBCR11,Títulos e Val. Mob.,5574,"11,77%","17,76%",61,53.422.500,232.021,0,000,000,"0,00%","0,00%"
IBFF11,Títulos e Val. Mob.,6640,"8,28%","0,00%",93,44.267.600,0,0,000,000,"0,00%","0,00%"
ICRI11,Títulos e Val. Mob.,9469,"8,64%","13,67%",96,365.253.000,1.193.070,0,000,000,"0,00%","0,00%"
IDFI11,Títulos e Val. Mob.,200,"16,41%","296,88%",46,4.115.850,0,2,000,000,"0,00%","0,00%"
IDGR11,Híbrido,150,"-15,05%","237,81%",0,1.325.040,0,0,000,000,"0,00%","0,00%"
IFID11,Títulos e Val. Mob.,8006,"7,66%","0,00%",125,59.897.000,0,0,000,000,"0,00%","0,00%"
IFIE11,Títulos e Val. Mob.,7198,"12,86%","0,00%",104,64.817.600,0,0,000,000,"0,00%","0,00%"
INLG11,Logística,7003,"13,33%","12,76%",70,315.983.000,323.865,5,"2.621,06",37513,"14,31%","0,84%"
INRD11,Residencial,6836,"12,71%","10,41%",58,77.295.100,64.217,5,"2.941,30",52929,"18,00%","3,31%"
IRDM11,Títulos e Val. Mob.,6770,"14,37%","13,49%",83,2.466.570.000,2.891.000,0,000,000,"0,00%","0,00%"
IRIM11,Híbrido,6755,"15,18%","14,55%",80,129.696.000,43.807,1,"2.664,43",000,"0,00%","0,00%"
ISCJ11,Títulos e Val. Mob.,9618,"9,38%","6,10%",40,18.048.200,24,0,000,000,"0,00%","0,00%"
ITIP11,Títulos e Val. Mob.,6489,"9,45%","12,74%",93,48.547.500,499.601,0,000,000,"0,00%","0,00%"
ITIT11,Títulos e Val. Mob.,6490,"14,27%","11,19%",88,58.442.100,425.234,0,000,000,"0,00%","0,00%"
ITRI11,Híbrido,7751,"9,01%","11,81%",86,484.438.000,1.235.090,0,000,000,"0,00%","0,00%"
JASC11,Híbrido,10000,"7,11%","7,43%",88,348.934.000,5.128,16,"3.410,61",30687,"9,00%","1,19%"
JBFO11,Títulos e Val. Mob.,8201,"9,02%","0,63%",104,104.897.000,0,0,000,000,"0,00%","0,00%"
JCCJ11,Títulos e Val. Mob.,15900,"3,28%","3,70%",84,265.292.000,1.768.290,0,000,000,"0,00%","0,00%"
JCIN11,Títulos e Val. Mob.,15000,"4,70%","3,93%",96,197.658.000,1.737.760,0,000,000,"0,00%","0,00%"
JFLL11,Residencial,7110,"14,32%","9,71%",66,106.693.000,65.000,2,"7.250,48","1.253,53","17,29%","9,00%"
JGPX11,Híbrido,6229,"20,82%","15,65%",66,133.378.000,229.056,0,000,000,"0,00%","0,00%"
JPPA11,Híbrido,7882,"15,79%","15,75%",83,71.257.200,82.141,0,000,000,"0,00%","0,00%"
JPPC11,Híbrido,14910,"-5,49%","16,20%",50,8.200.500,5.449,0,000,000,"0,00%","0,00%"
JRDM11,Shoppings,8590,"7,97%","0,00%",96,216.723.000,0,1,"7.394,68",67149,"9,08%","1,19%"
JSAF11,Títulos e Val. Mob.,777,"10,37%","14,34%",89,602.356.000,1.925.030,0,000,000,"0,00%","0,00%"
JSCR11,Títulos e Val. Mob.,839,"6,50%","8,77%",90,185.730.000,616.537,0,000,000,"0,00%","0,00%"
JSRE11,Híbrido,6280,"9,33%","9,10%",62,1.304.190.000,1.429.840,6,"11.158,20","1.127,61","10,11%","3,57%"
KCRE11,Títulos e Val. Mob.,876,"12,98%","12,93%",94,315.360.000,411.889,0,000,000,"0,00%","0,00%"
KDOL11,Títulos e Val. Mob.,9598,"-0,09%","3,06%",91,64.400.900,397.465,0,000,000,"0,00%","0,00%"
KEVE11,Residencial,85799,"6,34%","20,90%",159,126.726.000,39.927,1,000,000,"0,00%","0,00%"
KFEN11,Outros,"1.100,00","1,78%","2,93%",118,196.516.000,846,0,000,000,"0,00%","0,00%"
KFOF11,Títulos e Val. Mob.,7786,"10,34%","11,57%",90,546.154.000,1.312.830,0,000,000,"0,00%","0,00%"
KINP11,Residencial,982,"0,00%","0,00%",0,0,0,1,000,000,"0,00%","0,00%"
KISU11,Títulos e Val. Mob.,718,"11,41%","11,63%",91,317.328.000,431.358,0,000,000,"0,00%","0,00%"
KIVO11,Títulos e Val. Mob.,6417,"16,83%","17,32%",73,142.633.000,442.474,0,000,000,"0,00%","0,00%"
KNCA11,Títulos e Val. Mob.,9400,"11,57%","13,26%",92,2.030.390.000,3.002.210,0,000,000,"0,00%","0,00%"
KNCR11,Títulos e Val. Mob.,10361,"8,68%","11,45%",102,7.934.870.000,10.421.300,0,000,000,"0,00%","0,00%"
KNHF11,Híbrido,9015,"10,89%","11,85%",93,1.772.640.000,4.806.440,3,"19.934,70",74767,"3,75%","2,76%"
KNHY11,Títulos e Val. Mob.,10074,"9,22%","12,84%",103,2.837.800.000,2.962.630,0,000,000,"0,00%","0,00%"
KNIP11,Títulos e Val. Mob.,9068,"14,26%","11,60%",100,7.261.490.000,6.164.960,0,000,000,"0,00%","0,00%"
KNRE11,Residencial,033,"-4,49%","0,00%",50,6.120.560,5.359,0,000,000,"0,00%","0,00%"
KNRI11,Híbrido,14700,"7,32%","8,11%",91,4.146.000.000,9.008.730,20,"5.151,57",36501,"7,09%","0,11%"
KNSC11,Títulos e Val. Mob.,865,"6,33%","12,23%",100,1.749.050.000,4.913.860,0,000,000,"0,00%","0,00%"
KNUQ11,Títulos e Val. Mob.,10355,"8,54%","12,41%",102,1.585.610.000,3.157.660,0,000,000,"0,00%","0,00%"
KOPA11,Títulos e Val. Mob.,93000,"11,40%","17,53%",91,329.850.000,383.097,0,000,000,"0,00%","0,00%"
KORE11,Títulos e Val. Mob.,8434,"17,88%","17,52%",80,811.772.000,2.136.870,4,"13.143,80","1.702,12","12,95%","2,29%"
LAFI11,Híbrido,11447,"8,21%","7,43%",101,64.989.400,6.505,2,792,070,"8,89%","0,00%"
LASC11,Shoppings,10184,"7,34%","8,33%",71,299.440.000,1.390.120,2,"10.783,00","1.063,77","9,87%","3,77%"
LATR11B,Residencial,951,"-16,36%","0,00%",90,1.180.230,0,0,000,000,"0,00%","0,00%"
LFTT11,Outros,362,"-19,19%","0,00%",24,11.819.300,51.498,65,"1.820,48",000,"0,00%","0,00%"
LGCP11,Logística,8295,"11,25%","5,21%",82,374.279.000,0,5,"3.097,83",37513,"12,11%","0,84%"
LIFE11,Outros,886,"11,08%","17,69%",90,335.806.000,667.280,0,000,000,"0,00%","0,00%"
LLAO11,Híbrido,6458,"-7,71%","0,00%",124,23.322.400,0,14,"5.832,33",000,"0,00%","0,00%"
LOFT11B,Outros,2990,"-1,31%","0,00%",1270,58.678.800,0,3,"87.020,10",5910,"0,07%","0,00%"
LPLP11,Residencial,40800,"12,09%","28,99%",101,236.848.000,128.219,0,000,000,"0,00%","0,00%"
LSAG11,Títulos e Val. Mob.,7370,"16,74%","17,41%",75,74.387.900,73.190,0,000,000,"0,00%","0,00%"
LSPA11,Outros,2401,"175,20%","78,23%",115,9.712.040,0,0,000,000,"0,00%","0,00%"
LTMT11,Residencial,9521,"6,01%","8,03%",100,11.897.400,7.420,0,000,000,"0,00%","0,00%"
LUGG11,Residencial,7282,"11,94%","4,76%",62,82.338.000,0,5,"3.133,26",52929,"16,89%","3,31%"
LVBI11,Logística,10125,"10,03%","10,02%",81,1.632.000.000,2.462.960,10,"2.923,44",30913,"10,57%","0,90%"
MALL11,Híbrido,10202,"11,82%","9,53%",84,1.426.450.000,3.193.380,12,"4.716,38",53681,"11,38%","3,64%"
MANA11,Títulos e Val. Mob.,860,"6,46%","14,34%",94,322.811.000,1.023.830,0,000,000,"0,00%","0,00%"
MATV11,Títulos e Val. Mob.,8663,"11,42%","0,00%",92,36.901.600,0,0,000,000,"0,00%","0,00%"
MAXR11,Híbrido,6552,"10,66%","29,12%",63,73.752.900,616.381,7,"1.216,17",13431,"11,04%","24,55%"
MBRF11,Outros,67900,"4,63%","0,00%",98,69.029.900,0,2,"3.833,27",14042,"3,66%","81,98%"
MCCI11,Títulos e Val. Mob.,8402,"11,16%","11,66%",91,1.424.980.000,2.395.770,0,000,000,"0,00%","0,00%"
MCEM11,Títulos e Val. Mob.,6500,"-0,46%","0,00%",99,93.915.900,104.154,0,000,000,"0,00%","0,00%"
MCHF11,Títulos e Val. Mob.,905,"11,76%","0,00%",87,292.806.000,0,3,000,000,"0,00%","0,00%"
MCHY11,Títulos e Val. Mob.,858,"11,16%","9,79%",86,957.519.000,0,1,"1.583,25",5306,"3,35%","35,85%"
MCLO11,Híbrido,1074,"0,00%","2,36%",107,1.338.660.000,2.168.610,0,000,000,"0,00%","0,00%"
MCRE11,Títulos e Val. Mob.,868,"11,03%","14,32%",86,968.679.000,3.292.480,1,"1.584,80",5306,"3,35%","35,85%"
MFAI11,Híbrido,6998,"0,00%","3,74%",0,0,0,0,000,000,"0,00%","0,00%"
MFCR11,Híbrido,2460,"0,00%","18,05%",0,0,0,0,000,000,"0,00%","0,00%"
MFII11,Híbrido,8784,"4,08%","15,70%",84,457.857.000,853.401,4,15622,000,"0,00%","0,00%"
MGCR11,Títulos e Val. Mob.,940,"11,11%","0,00%",96,126.115.000,0,0,000,000,"0,00%","0,00%"
MGFF11,Títulos e Val. Mob.,6999,"0,00%","0,00%",0,0,0,0,000,000,"0,00%","0,00%"
MGHT11,Híbrido,1275,"17,07%","11,02%",48,16.750.700,62.051,1,"3.078,10",56821,"18,46%","99,99%"
MGIM11,Híbrido,10150,"-2,38%","0,00%",103,25.101.000,0,0,000,000,"0,00%","0,00%"
MGLG11,Híbrido,4099,"5,82%","0,00%",91,103.703.000,0,6,"3.132,38",7543,"2,41%","8,72%"
MINT11,Outros,9650,"13,23%","15,98%",99,50.180.000,0,3,000,53236,"0,00%","0,00%"
MMPD11,Outros,11061,"7,86%","10,35%",100,58.678.300,0,0,000,000,"0,00%","0,00%"
MORC11,Títulos e Val. Mob.,8987,"12,37%","0,00%",92,171.455.000,0,0,000,000,"0,00%","0,00%"
MORE11,Títulos e Val. Mob.,7621,"6,04%","0,00%",88,176.740.000,0,0,000,000,"0,00%","0,00%"
MXRF11,Híbrido,918,"9,93%","12,28%",99,4.014.650.000,11.753.000,3,"153.599,00",000,"0,00%","0,00%"
NAUI11,Outros,"1.030,00","-6,81%","0,00%",277,53.287.000,3.169,0,000,000,"0,00%","0,00%"
NAVT11,Títulos e Val. Mob.,6658,"13,55%","15,95%",80,40.765.700,94.619,0,000,000,"0,00%","0,00%"
NCHB11B,Títulos e Val. Mob.,797,"15,42%","14,84%",82,121.793.000,7.729,0,000,000,"0,00%","0,00%"
NCRA11,Títulos e Val. Mob.,770,"21,21%","15,44%",73,34.341.600,63.185,0,000,000,"0,00%","0,00%"
NCRI11,Títulos e Val. Mob.,819,"14,33%","14,34%",83,32.350.500,2.088,0,000,000,"0,00%","0,00%"
NEWL11,Híbrido,9860,"16,30%","11,57%",74,277.797.000,1.111.550,3,"3.820,68",41294,"10,81%","0,00%"
NEWU11,Híbrido,7700,"1,91%","1,23%",99,57.134.000,120.714,3,"4.080,78",43109,"10,56%","47,02%"
NEXG11,Outros,12900,"2,34%","8,10%",130,90.106.500,215.036,0,000,000,"0,00%","0,00%"
NPAR11,Outros,1282,"213,32%","0,00%",70,1.533.140,0,0,000,000,"0,00%","0,00%"
NSLU11,Hospital,15200,"12,18%","12,17%",73,196.579.000,180.230,1,"8.032,29","1.059,83","13,19%","0,00%"
NVHO11,Hospital,1161,"13,68%","8,69%",70,481.752.000,1.739,4,"15.645,50","2.208,41","14,12%","0,00%"
OBAL11,Residencial,"1.095,00","-3,25%","21,49%",91,154.701.000,28,4,"20.801,00",000,"0,00%","0,00%"
OCRE11,Títulos e Val. Mob.,7600,"9,56%","11,04%",84,32.146.900,18.058,0,000,000,"0,00%","0,00%"
OGHY11,Títulos e Val. Mob.,872,"7,32%","0,00%",92,23.678.100,0,0,000,000,"0,00%","0,00%"
OIAG11,Títulos e Val. Mob.,741,"14,76%","15,77%",75,66.934.500,122.368,0,000,000,"0,00%","0,00%"
ONEF11,Lajes Corporativas,20003,"6,08%","0,00%",109,182.227.000,0,0,000,000,"0,00%","0,00%"
ORPD11,Títulos e Val. Mob.,9300,"0,00%","0,00%",65,26.970.000,0,0,000,000,"0,00%","0,00%"
OUCY11,Híbrido,8850,"0,00%","0,00%",0,0,0,8,000,16102,"0,00%","0,00%"
OUFF11,Títulos e Val. Mob.,6110,"0,00%","4,28%",0,0,0,0,000,000,"0,00%","0,00%"
OUJP11,Híbrido,7828,"14,34%","13,86%",79,254.597.000,434.356,0,000,000,"0,00%","0,00%"
OULG11,Logística,3700,"9,45%","2,02%",60,91.807.500,838.154,2,"1.238,16",17421,"14,07%","0,00%"
OURE11,Híbrido,7820,"0,00%","4,92%",0,0,0,8,000,16102,"0,00%","0,00%"
PATA11,Outros,1069,"7,17%","6,80%",108,18.194.500,7.609,0,000,000,"0,00%","0,00%"
PATC11,Lajes Corporativas,3550,"3,96%","4,41%",86,123.449.000,1.399.230,4,"15.793,50","1.181,41","7,48%","0,00%"
PATL11,Logística,4700,"14,68%","14,45%",49,234.602.000,349.360,4,"1.505,40",26649,"17,70%","2,73%"
PDDA11B,Logística,10650,"3,28%","0,00%",172,264.257.000,0,2,"3.563,90",17421,"4,89%","0,00%"
PEMA11,Títulos e Val. Mob.,3710,"20,70%","16,22%",58,20.479.200,541,0,000,000,"0,00%","0,00%"
PLAG11,Outros,4751,"11,38%","11,23%",78,239.466.000,1.195.540,12,"1.656,39",21765,"13,14%","0,00%"
PLCA11,Títulos e Val. Mob.,7271,"19,71%","15,11%",77,40.500.900,64.471,0,000,000,"0,00%","0,00%"
PLCR11,Títulos e Val. Mob.,8101,"14,90%","11,75%",89,170.864.000,271.636,0,000,000,"0,00%","0,00%"
PLOG11,Logística,6671,"14,54%","0,00%",62,50.032.500,0,1,69698,13027,"18,69%","0,00%"
PLRI11,Títulos e Val. Mob.,1500,"4,07%","39,06%",83,14.314.600,10.535,0,000,000,"0,00%","0,00%"
PMFO11,Títulos e Val. Mob.,8569,"5,06%","11,49%",100,83.625.500,6.602,0,000,000,"0,00%","0,00%"
PMIS11,Títulos e Val. Mob.,782,"10,85%","14,66%",86,115.761.000,327.887,0,000,000,"0,00%","0,00%"
PNCR11,Residencial,6865,"-0,37%","11,51%",127,34.325.000,0,1,"27.004,90",000,"0,00%","0,00%"
PNDL11,Títulos e Val. Mob.,"1.100,00","-0,39%","0,00%",104,158.765.000,82.519,0,000,000,"0,00%","0,00%"
PNPR11,Híbrido,5300,"10,00%","3,02%",138,47.584.300,19.451,1,000,40522,"0,00%","0,00%"
PNRC11,Híbrido,10595,"6,57%","9,35%",196,43.450.100,0,3,"15.723,30",000,"0,00%","0,00%"
PORD11,Títulos e Val. Mob.,807,"12,21%","13,13%",84,300.880.000,485.266,0,000,000,"0,00%","0,00%"
PQAG11,Logística,5457,"10,23%","10,07%",95,763.537.000,247.615,1,"12.071,70","1.203,85","9,97%","0,00%"
PQDP11,Shoppings,"2.289,99","11,34%","8,13%",68,230.284.000,354.520,1,"1.756,51",21311,"12,13%","1,02%"
PRSN11,Residencial,135,"-17,23%","37,15%",41,4.362.180,320,2,"8.414,80",000,"0,00%","0,00%"
PRSV11,Lajes Corporativas,4899,"-23,48%","0,00%",33,10.460.900,1.253,1,"1.050,35",000,"0,00%","100,00%"
PULV11,Títulos e Val. Mob.,779,"15,55%","10,89%",77,93.481.900,29.318,0,000,000,"0,00%","0,00%"
PURB11,Híbrido,9510,"11,88%","0,00%",82,107.954.000,0,2,"19.149,10","2.369,56","12,37%","9,70%"
PVBI11,Lajes Corporativas,7750,"8,71%","8,97%",74,2.102.580.000,3.813.860,7,"20.136,30","1.803,72","8,96%","15,46%"
QAGR11,Outros,4100,"13,19%","12,94%",68,206.640.000,149.034,12,"1.432,53",21765,"15,19%","0,00%"
QAMI11,Títulos e Val. Mob.,8468,"24,53%","0,00%",91,67.862.400,0,0,000,000,"0,00%","0,00%"
QIFF11,Títulos e Val. Mob.,9749,"7,63%","0,00%",109,14.623.500,0,0,000,000,"0,00%","0,00%"
QIRI11,Títulos e Val. Mob.,7804,"9,53%","0,00%",87,11.706.000,0,0,000,000,"0,00%","0,00%"
QMFF11,Títulos e Val. Mob.,9852,"7,55%","0,00%",110,14.778.000,0,0,000,000,"0,00%","0,00%"
RBBV11,Títulos e Val. Mob.,10000,"6,51%","0,00%",99,125.416.000,0,0,000,000,"0,00%","0,00%"
RBCO11,Lajes Corporativas,4400,"12,33%","8,39%",49,166.276.000,144.616,4,"3.812,31",61484,"16,13%","0,00%"
RBDS11,Residencial,221,"-69,37%","0,00%",12,279.616,174,0,000,000,"0,00%","0,00%"
RBED11,Outros,9403,"15,89%","19,80%",0,221.443.000,0,0,000,000,"0,00%","0,00%"
RBFF11,Títulos e Val. Mob.,5066,"12,34%","11,98%",86,189.935.000,451.993,0,000,000,"0,00%","0,00%"
RBGS11,Shoppings,2845,"3,30%","0,00%",31,30.669.100,0,1,"1.051,57",5268,"5,01%","11,94%"
RBHG11,Títulos e Val. Mob.,6930,"11,98%","14,83%",80,150.239.000,246.035,0,000,000,"0,00%","0,00%"
RBHY11,Títulos e Val. Mob.,8034,"11,78%","15,05%",87,152.124.000,350.932,0,000,000,"0,00%","0,00%"
RBIR11,Residencial,8202,"3,41%","4,89%",88,125.377.000,127.792,1,"57.694,30",000,"0,00%","0,00%"
RBIV11,Títulos e Val. Mob.,8370,"9,92%","0,00%",97,181.458.000,0,0,000,000,"0,00%","0,00%"
RBLG11,Logística,4600,"17,90%","17,63%",67,29.449.200,2.184,1,27900,2900,"10,39%","0,00%"
RBOP11,Outros,18204,"17,28%","12,37%",26,18.506.900,28.318,2,"1.029,47",14042,"13,64%","81,98%"
RBRD11,Híbrido,3895,"12,06%","12,86%",60,72.127.100,52.369,4,"2.574,80",35893,"13,94%","0,00%"
RBRF11,Títulos e Val. Mob.,700,"15,11%","11,64%",83,957.654.000,2.750.440,0,000,000,"0,00%","0,00%"
RBRI11,Híbrido,92300,"23,59%","36,60%",113,128.911.000,4.335,0,000,000,"0,00%","0,00%"
RBRL11,Logística,7550,"10,06%","11,30%",72,504.871.000,289.128,5,"1.986,58",26153,"13,16%","0,00%"
RBRM11,Títulos e Val. Mob.,"160.000,00","-8,41%","0,00%",816,86.240.000,0,0,000,000,"0,00%","0,00%"
RBRP11,Outros,4771,"6,66%","13,35%",63,581.069.000,1.449.790,6,"9.388,31",67942,"7,24%","0,00%"
RBRR11,Títulos e Val. Mob.,8470,"9,91%","12,12%",94,1.275.340.000,2.046.410,0,000,000,"0,00%","0,00%"
RBRS11,Residencial,3599,"-2,38%","0,58%",37,62.417.400,68.503,3,"9.665,56",66713,"6,90%","24,89%"
RBRX11,Títulos e Val. Mob.,800,"11,14%","13,10%",83,235.749.000,592.358,1,"8.747.830,00",000,"0,00%","0,00%"
RBRY11,Títulos e Val. Mob.,9272,"10,32%","12,50%",96,1.183.990.000,2.709.450,0,000,000,"0,00%","0,00%"
RBTS11,Outros,37790,"-2,40%","5,37%",98,21.360.800,339,0,000,000,"0,00%","0,00%"
RBVA11,Outros,8556,"7,70%","12,09%",80,1.335.960.000,1.987.140,82,"4.432,97",46890,"10,58%","3,86%"
RBVO11,Lajes Corporativas,533,"0,00%","48,52%",0,0,0,0,000,000,"0,00%","0,00%"
RCFF11,Títulos e Val. Mob.,8762,"28,41%","23,27%",86,28.318.800,6.969,0,000,000,"0,00%","0,00%"
RCRB11,Lajes Corporativas,12827,"5,15%","8,71%",64,473.405.000,1.395.900,9,"12.075,80","1.216,83","10,08%","6,49%"
RCRI11B,Híbrido,"1.200,00","4,39%","0,00%",116,61.214.400,0,0,000,000,"0,00%","0,00%"
RDES11,Híbrido,5800,"2,54%","0,00%",75,43.036.000,0,3,"3.089,11",43109,"13,96%","47,02%"
RDPD11,Títulos e Val. Mob.,2296,"4,47%","0,00%",223,172.391.000,0,0,000,000,"0,00%","0,00%"
RECD11,Títulos e Val. Mob.,999,"2,04%","6,23%",102,54.483.200,23.704,0,000,000,"0,00%","0,00%"
RECM11,Híbrido,857,"2,16%","5,65%",88,71.992.400,10.596,0,000,000,"0,00%","0,00%"
RECR11,Títulos e Val. Mob.,8248,"12,99%","13,61%",93,2.180.910.000,2.355.510,1,"42.842,30",000,"0,00%","100,02%"
RECT11,Híbrido,3053,"14,89%","13,99%",34,260.833.000,297.674,9,"3.434,63",78174,"22,76%","9,09%"
RECX11,Títulos e Val. Mob.,6799,"10,80%","3,79%",94,14.843.100,0,0,000,000,"0,00%","0,00%"
REIT11,Títulos e Val. Mob.,8500,"10,60%","8,45%",29,2.234.740,87,0,000,000,"0,00%","0,00%"
RELG11,Híbrido,6618,"3,68%","6,09%",59,88.321.300,596.631,5,89945,18633,"20,72%","10,00%"
RENV11,Outros,718,"-5,60%","3,54%",77,7.372.380,11.646,0,000,000,"0,00%","0,00%"
RFOF11,Títulos e Val. Mob.,5594,"12,66%","14,74%",81,60.312.500,327.548,0,000,000,"0,00%","0,00%"
RINV11,Títulos e Val. Mob.,10210,"5,27%","12,97%",100,334.840.000,321.080,0,000,000,"0,00%","0,00%"
RMAI11,Híbrido,6849,"5,01%","8,24%",64,167.376.000,30.755,2,"3.961,11",36483,"9,21%","13,30%"
RNDP11,Títulos e Val. Mob.,4050,"7,21%","38,41%",72,4.352.980,8.543,0,000,000,"0,00%","0,00%"
RNGO11,Lajes Corporativas,4542,"10,45%","9,98%",54,121.544.000,44.402,5,"1.589,30",22436,"14,12%","10,07%"
ROOF11,Outros,72720,"-7,05%","0,00%",172,56.354.400,0,43,"3.905,23",113,"0,03%","0,00%"
RPRI11,Títulos e Val. Mob.,8754,"11,34%","13,65%",89,303.915.000,379.044,0,000,000,"0,00%","0,00%"
RRCI11,Títulos e Val. Mob.,7288,"13,47%","13,83%",82,35.110.500,63.993,0,000,000,"0,00%","0,00%"
RSPD11,Residencial,98900,"1,66%","7,27%",102,147.372.000,17.655,1,"86.016,00",000,"0,00%","0,00%"
RURA11,Títulos e Val. Mob.,784,"13,85%","13,25%",77,1.255.180.000,2.034.080,0,000,000,"0,00%","0,00%"
RVBI11,Títulos e Val. Mob.,6424,"11,00%","13,62%",85,660.131.000,856.262,0,000,000,"0,00%","0,00%"
RZAG11,Títulos e Val. Mob.,869,"16,89%","15,03%",90,591.271.000,1.223.790,0,000,000,"0,00%","0,00%"
RZAK11,Títulos e Val. Mob.,8219,"15,34%","16,28%",95,723.920.000,1.727.790,0,000,000,"0,00%","0,00%"
RZAT11,Híbrido,8845,"-59,86%","14,01%",87,374.589.000,566.638,12,"1.110,75",9919,"8,93%","0,00%"
RZDM11,Híbrido,55016,"19,74%","0,00%",415,88.025.600,0,4,"61.028,80",000,"0,00%","0,00%"
RZEO11,Outros,19300,"-1,02%","26,96%",95,608.514.000,19,36,97198,000,"0,00%","0,00%"
RZLC11,Outros,"1.007,95","4,42%","6,99%",102,50.397.500,839.321,0,000,000,"0,00%","0,00%"
RZTR11,Títulos e Val. Mob.,9098,"16,91%","12,71%",95,1.715.130.000,3.697.300,17,260,028,"10,70%","24,40%"
RZZR11,Outros,14050,"7,99%","9,79%",84,701.478.000,17.680,10,"1.029,48",8630,"8,38%","0,00%"
RZZV11,Logística,"1.000,00","0,26%","1,22%",99,103.847.000,256,0,000,000,"0,00%","0,00%"
SADI11,Títulos e Val. Mob.,876,"12,23%","12,15%",91,135.665.000,304.214,0,000,000,"0,00%","0,00%"
SAIC11,Lajes Corporativas,3404,"-2,49%","0,00%",60,48.668.300,1,1,"4.385,62",7069,"1,61%","100,00%"
SAPI11,Títulos e Val. Mob.,852,"12,73%","12,77%",86,131.522.000,220.914,0,000,000,"0,00%","0,00%"
SARE11,Híbrido,476,"7,21%","6,24%",61,439.554.000,1.831.860,3,"1.752,93",23543,"13,43%","63,23%"
SCPF11,Híbrido,202,"1,95%","0,00%",19,8.484.000,2.260,1,"1.783,46",69006,"38,69%","29,18%"
SDIL11,Logística,9650,"5,44%","0,00%",100,746.822.000,0,6,"1.965,97",25182,"12,81%","0,00%"
SDIP11,Lajes Corporativas,8800,"1,98%","0,00%",89,371.533.000,0,5,"11.069,00","1.012,66","9,15%","0,00%"
SEED11,Híbrido,9300,"10,96%","12,75%",102,152.520.000,119,0,000,000,"0,00%","0,00%"
SEQR11,Outros,4905,"13,74%","13,93%",52,81.702.300,131.187,4,"1.994,05",36253,"18,18%","0,00%"
SHDP11B,Shoppings,"1.210,05","9,29%","8,22%",87,1.439.630.000,0,1,"11.066,20","1.157,44","10,46%","1,02%"
SHOP11,Híbrido,2074,"-2,38%","0,00%",58,40.483.800,27.800,1,"1.719,87",27183,"15,81%","14,00%"
SHPH11,Shoppings,91000,"6,35%","6,45%",90,554.145.000,716.910,1,"14.376,10","1.168,29","8,13%","2,58%"
SIGR11,Títulos e Val. Mob.,9990,"3,09%","1,28%",103,200.302.000,0,0,000,000,"0,00%","0,00%"
SJAU11,Logística,2973,"39,70%","11,46%",55,235.826.000,1.320,0,000,000,"0,00%","0,00%"
SMRE11,Outros,8200,"0,04%","14,01%",81,77.496.400,336.052,0,000,000,"0,00%","0,00%"
SNAG11,Híbrido,961,"10,56%","12,81%",95,583.715.000,1.670.150,3,12496,1191,"9,53%","0,00%"
SNCI11,Títulos e Val. Mob.,8932,"12,79%","13,11%",93,375.144.000,394.153,0,000,000,"0,00%","0,00%"
SNCR11,Híbrido,9780,"13,30%","0,00%",102,472.992.000,0,0,000,000,"0,00%","0,00%"
SNEL11,Híbrido,858,"3,62%","13,59%",106,329.124.000,528.590,1,000,000,"5,30%","0,00%"
SNFF11,Títulos e Val. Mob.,6909,"8,66%","14,47%",83,277.786.000,717.863,0,000,000,"0,00%","0,00%"
SNFZ11,Híbrido,980,"3,40%","4,72%",100,60.760.000,34.952,2,"40.871,40",39696,"0,97%","0,00%"
SNLG11,Híbrido,042,"567,91%","2,36%",1,1.062.590,298.125,6,000,7543,"0,00%","8,72%"
SNME11,Híbrido,932,"11,91%","13,35%",99,69.138.000,39.349,0,000,000,"0,00%","0,00%"
SOFF11,Outros,10194,"-2,64%","2,59%",109,5.097.000,904,0,000,000,"0,00%","0,00%"
SOLR11,Híbrido,"1.051,35","-2,36%","0,00%",112,67.778.400,0,1,"7.804,69",000,"0,00%","0,00%"
SPDE11,Residencial,"1.266,67","7,38%","12,28%",104,115.774.000,0,0,000,000,"0,00%","0,00%"
SPMO11,Híbrido,14400,"-0,13%","0,00%",107,260.916.000,0,0,000,000,"0,00%","0,00%"
SPTW11,Lajes Corporativas,3384,"19,51%","14,57%",58,60.844.300,54.533,1,"4.242,44",94871,"22,36%","0,00%"
SPXS11,Híbrido,847,"11,80%","13,73%",91,171.001.000,662.017,0,000,000,"0,00%","0,00%"
SRVD11,Títulos e Val. Mob.,300,"-0,15%","0,00%",552,288.858.000,0,0,000,000,"0,00%","0,00%"
STRX11,Híbrido,16800,"7,56%","5,99%",118,271.078.000,0,3,"2.659,80",21093,"7,93%","4,10%"
TBOF11,Lajes Corporativas,10150,"-0,11%","0,00%",48634,1.020.080.000,0,1,000,000,"0,00%","15,37%"
TELM11,Híbrido,1000,"2,58%","4,32%",102,21.473.600,38.265,0,000,000,"0,00%","0,00%"
TEPP11,Lajes Corporativas,8400,"2,47%","12,70%",87,354.645.000,412.475,5,"10.786,60","1.043,04","9,67%","0,00%"
TGAR11,Híbrido,8962,"14,15%","15,32%",79,2.112.160.000,5.425.980,5,4029,095,"2,35%","0,00%"
THRA11,Lajes Corporativas,13850,"2,96%","0,00%",1452,203.973.000,0,0,000,000,"0,00%","0,00%"
